customer,day,daily_amount,nr_trans
customer1001,2019-10-27 00:00:00+00:00,70.0,2
customer1001,2019-11-08 00:00:00+00:00,70.0,3
customer1001,2019-11-17 00:00:00+00:00,40.0,1
customer1001,2019-11-25 00:00:00+00:00,60.0,2
customer1001,2019-12-02 00:00:00+00:00,22.0,2
customer1001,2019-12-12 00:00:00+00:00,25.0,1
customer1001,2019-12-25 00:00:00+00:00,20.0,1
customer1001,2020-01-04 00:00:00+00:00,35.0,1
customer1001,2020-01-14 00:00:00+00:00,15.0,1
customer1001,2020-02-07 00:00:00+00:00,30.0,1
customer1001,2020-02-08 00:00:00+00:00,25.0,1
customer1001,2020-02-09 00:00:00+00:00,40.0,1
customer1002,2019-06-30 00:00:00+00:00,35.0,1
customer1002,2019-07-02 00:00:00+00:00,35.0,1
customer1002,2019-07-03 00:00:00+00:00,45.0,1
customer1002,2019-07-05 00:00:00+00:00,40.0,2
customer1002,2019-07-10 00:00:00+00:00,40.0,1
customer1003,2019-03-05 00:00:00+00:00,31.0,1
customer1003,2019-03-12 00:00:00+00:00,50.0,1
customer1004,2019-12-09 00:00:00+00:00,50.0,1
customer1006,2019-07-22 00:00:00+00:00,25.0,1
customer1006,2019-08-01 00:00:00+00:00,10.0,1
customer1006,2019-12-21 00:00:00+00:00,15.0,1
customer1007,2019-05-22 00:00:00+00:00,125.0,1
customer1007,2019-05-26 00:00:00+00:00,100.0,1
customer1008,2019-04-06 00:00:00+00:00,10.0,1
customer1009,2020-01-03 00:00:00+00:00,250.0,1
customer101,2019-06-01 00:00:00+00:00,50.0,1
customer101,2019-08-08 00:00:00+00:00,100.0,2
customer101,2019-08-22 00:00:00+00:00,100.0,2
customer101,2019-08-23 00:00:00+00:00,100.0,2
customer101,2019-08-24 00:00:00+00:00,50.0,1
customer101,2019-08-25 00:00:00+00:00,200.0,2
customer101,2019-08-27 00:00:00+00:00,50.0,1
customer101,2019-08-28 00:00:00+00:00,300.0,4
customer101,2019-08-31 00:00:00+00:00,50.0,1
customer101,2019-09-13 00:00:00+00:00,600.0,4
customer101,2019-09-14 00:00:00+00:00,50.0,1
customer101,2019-09-16 00:00:00+00:00,200.0,2
customer101,2019-09-17 00:00:00+00:00,400.0,2
customer101,2019-09-19 00:00:00+00:00,100.0,1
customer101,2019-09-20 00:00:00+00:00,50.0,1
customer101,2019-09-21 00:00:00+00:00,300.0,2
customer101,2019-09-22 00:00:00+00:00,600.0,3
customer101,2019-09-23 00:00:00+00:00,1650.0,6
customer101,2019-09-24 00:00:00+00:00,900.0,3
customer101,2019-09-25 00:00:00+00:00,600.0,2
customer101,2019-09-27 00:00:00+00:00,500.0,2
customer101,2019-09-28 00:00:00+00:00,1788.0,8
customer101,2019-09-29 00:00:00+00:00,50.0,1
customer101,2019-09-30 00:00:00+00:00,360.0,3
customer101,2019-10-01 00:00:00+00:00,450.0,2
customer101,2019-10-03 00:00:00+00:00,200.0,1
customer101,2019-10-05 00:00:00+00:00,900.0,5
customer1010,2020-01-12 00:00:00+00:00,28.0,1
customer1010,2020-01-13 00:00:00+00:00,158.82999999999998,5
customer1011,2019-05-02 00:00:00+00:00,100.0,1
customer1012,2020-01-09 00:00:00+00:00,50.0,1
customer1012,2020-01-22 00:00:00+00:00,70.0,2
customer1012,2020-01-25 00:00:00+00:00,50.0,1
customer1012,2020-01-30 00:00:00+00:00,50.0,1
customer1013,2019-05-17 00:00:00+00:00,59.0,1
customer1013,2019-07-28 00:00:00+00:00,10.0,1
customer1013,2019-08-12 00:00:00+00:00,10.0,1
customer1013,2019-08-29 00:00:00+00:00,20.0,1
customer1013,2019-09-01 00:00:00+00:00,10.0,1
customer1013,2019-09-03 00:00:00+00:00,50.0,1
customer1013,2019-09-08 00:00:00+00:00,15.0,1
customer1013,2019-09-10 00:00:00+00:00,10.0,1
customer1013,2019-10-06 00:00:00+00:00,30.0,1
customer1013,2019-10-19 00:00:00+00:00,25.0,1
customer1013,2019-11-03 00:00:00+00:00,20.0,1
customer1013,2019-12-01 00:00:00+00:00,15.0,1
customer1013,2020-01-26 00:00:00+00:00,30.0,1
customer1013,2020-01-28 00:00:00+00:00,15.0,1
customer1014,2019-03-30 00:00:00+00:00,10.0,1
customer1014,2019-04-13 00:00:00+00:00,10.0,1
customer1014,2019-04-20 00:00:00+00:00,10.0,1
customer1014,2019-04-23 00:00:00+00:00,10.0,1
customer1014,2019-04-26 00:00:00+00:00,10.0,1
customer1014,2019-05-04 00:00:00+00:00,10.0,1
customer1014,2019-05-16 00:00:00+00:00,10.0,1
customer1014,2019-05-23 00:00:00+00:00,10.0,1
customer1014,2019-05-30 00:00:00+00:00,10.0,1
customer1015,2019-06-22 00:00:00+00:00,50.0,1
customer1016,2019-05-17 00:00:00+00:00,350.0,2
customer1016,2019-05-22 00:00:00+00:00,320.0,2
