AccountIdentifier,month_x,month_y
customer1557,2019-03,2019-08
customer1558,2019-03,2019-03
customer1559,2020-02,2020-02
customer156,2019-08,2020-01
customer1560,2019-03,2019-03
customer1561,2019-12,2019-12
customer1562,2020-02,2020-02
customer1563,2019-05,2019-05
customer1564,2019-11,2019-11
customer1565,2019-12,2020-02
customer1566,2019-08,2019-08
customer1567,2020-01,2020-01
customer1568,2019-09,2019-10
customer1569,2020-01,2020-01
customer157,2019-10,2020-01
customer1570,2019-08,2019-08
customer1571,2020-02,2020-02
customer1572,2019-04,2019-09
customer1573,2019-11,2019-11
customer1574,2019-03,2019-04
customer1575,2019-11,2019-12
customer1576,2020-02,2020-02
customer1577,2019-07,2019-07
customer1578,2019-03,2019-03
customer1579,2019-05,2019-05
customer158,2019-11,2020-02
customer1580,2020-01,2020-01
customer1581,2019-12,2019-12
customer1582,2019-03,2019-05
customer1583,2019-04,2019-04
customer1584,2020-01,2020-01
customer1585,2019-03,2019-07
customer1586,2020-01,2020-01
customer1587,2019-03,2019-07
customer1589,2019-05,2019-05
customer159,2019-03,2020-02
customer1590,2019-03,2019-03
customer1591,2019-08,2019-08
customer1592,2020-01,2020-01
customer1593,2019-03,2019-06
customer1594,2019-03,2019-03
customer1595,2019-05,2019-05
customer1596,2019-03,2019-03
customer1597,2019-03,2019-03
customer1598,2020-01,2020-01
customer1599,2019-03,2019-06
customer16,2020-01,2020-02
customer160,2019-03,2019-03
customer1600,2020-01,2020-01
customer1601,2019-06,2019-06
customer1602,2019-08,2019-08
customer1603,2019-12,2020-01
customer1604,2019-05,2019-05
customer1605,2019-10,2019-10
customer1606,2019-10,2019-10
customer1607,2019-07,2019-07
customer1608,2019-07,2019-07
customer1609,2019-10,2020-02
customer161,2019-03,2019-06
customer1610,2019-10,2019-10
customer1611,2020-01,2020-01
customer1612,2019-10,2019-10
customer1613,2019-12,2019-12
customer1614,2019-06,2019-06
customer1615,2019-03,2019-06
customer1616,2020-01,2020-01
customer1617,2019-04,2019-04
customer1618,2019-03,2019-03
customer1619,2019-10,2019-10
customer162,2019-03,2020-02
customer1620,2019-07,2019-07
customer1621,2020-02,2020-02
customer1622,2019-03,2019-06
customer1623,2019-09,2019-09
customer1624,2020-02,2020-02
customer1625,2019-09,2019-09
customer1626,2020-01,2020-01
customer1627,2019-04,2019-04
customer1628,2019-03,2019-03
customer1629,2019-03,2019-03
customer163,2019-08,2019-11
customer1630,2019-06,2019-06
customer1631,2019-03,2019-03
customer1632,2020-01,2020-01
customer1633,2019-03,2019-03
customer1634,2019-03,2019-03
customer1635,2019-03,2019-07
customer1636,2019-12,2020-02
customer1637,2019-04,2019-04
customer1638,2019-04,2019-04
customer1639,2019-08,2019-08
customer164,2019-05,2020-02
customer1640,2019-10,2019-11
customer1641,2019-03,2019-11
customer1642,2020-02,2020-02
customer1643,2020-02,2020-02
customer1644,2019-10,2019-10
customer1645,2019-09,2019-09
customer1646,2019-05,2019-05
customer1647,2019-03,2019-03
customer1648,2019-03,2019-03
customer1649,2019-03,2019-11
customer165,2019-04,2019-10
customer1650,2020-01,2020-01
customer1651,2019-08,2019-08
customer1652,2019-06,2019-06
customer1653,2019-06,2019-06
customer1654,2020-02,2020-02
customer1655,2019-07,2019-08
customer1656,2019-07,2019-08
customer1657,2019-06,2019-06
customer1658,2019-10,2019-10
customer1659,2020-02,2020-02
customer166,2019-07,2020-02
customer1661,2019-05,2019-05
customer1662,2019-05,2019-05
customer1663,2019-10,2019-12
customer1664,2019-03,2019-03
customer1665,2019-12,2019-12
customer1666,2019-04,2019-04
customer1667,2019-07,2019-07
customer1668,2020-02,2020-02
customer1669,2019-03,2019-03
customer167,2019-03,2020-02
customer1670,2020-01,2020-01
customer1671,2019-08,2019-08
customer1672,2020-01,2020-01
customer1673,2019-03,2019-03
customer1674,2019-07,2019-07
customer1675,2020-01,2020-01
customer1676,2019-06,2019-08
customer1677,2019-03,2019-03
customer1678,2019-05,2019-05
customer1679,2019-11,2019-11
customer168,2019-03,2019-11
customer1680,2019-06,2019-06
customer1681,2019-11,2019-11
customer1682,2019-11,2020-01
customer1683,2019-03,2019-03
customer1684,2019-03,2019-03
customer1685,2019-12,2019-12
customer1686,2019-08,2019-08
customer1687,2019-07,2019-07
customer1688,2020-02,2020-02
customer1689,2020-02,2020-02
customer169,2019-11,2019-11
customer1690,2020-01,2020-01
customer1691,2020-01,2020-01
customer1692,2020-02,2020-02
customer1693,2019-05,2019-05
customer1694,2019-12,2019-12
customer1695,2019-04,2019-08
customer1696,2019-10,2020-02
customer1697,2019-08,2019-08
customer1698,2020-01,2020-01
customer1699,2019-10,2019-10
customer17,2019-03,2020-02
customer170,2019-09,2020-02
customer1700,2020-01,2020-01
customer1701,2019-10,2020-02
customer1702,2019-12,2019-12
customer1703,2019-03,2019-03
customer1704,2019-12,2019-12
customer1705,2019-06,2019-06
customer1706,2019-03,2019-03
customer1707,2019-03,2019-03
customer1708,2019-12,2019-12
customer1709,2019-04,2019-04
customer171,2019-08,2020-02
customer1710,2019-03,2019-03
customer1711,2020-01,2020-01
customer1712,2019-03,2019-03
customer1713,2020-02,2020-02
customer1714,2019-03,2019-09
customer1715,2019-06,2019-06
customer1716,2020-01,2020-01
customer1717,2020-01,2020-01
customer1718,2020-02,2020-02
customer1719,2020-02,2020-02
customer172,2019-10,2020-02
customer1720,2019-11,2019-11
customer1721,2020-02,2020-02
customer1722,2019-11,2019-11
customer1723,2019-03,2019-04
customer1724,2019-12,2019-12
customer1725,2019-07,2020-01
customer1726,2019-05,2019-05
customer1727,2019-11,2019-11
customer1728,2019-12,2020-01
customer1729,2019-07,2019-07
customer173,2019-06,2019-07
customer1730,2019-09,2019-09
customer1731,2020-01,2020-01
customer1732,2019-05,2019-05
customer1733,2019-10,2019-10
customer1734,2019-07,2019-07
customer1735,2019-03,2019-03
customer1736,2019-03,2019-03
customer1737,2020-02,2020-02
customer1738,2019-03,2019-04
customer1739,2019-03,2019-06
customer174,2019-05,2019-08
customer1740,2019-03,2019-03
customer1741,2019-08,2019-12
customer1742,2019-03,2019-03
customer1743,2019-07,2019-07
customer1744,2019-04,2020-02
customer1745,2019-03,2019-03
customer1746,2020-01,2020-01
customer1747,2019-03,2019-03
customer1748,2019-06,2019-06
customer1749,2019-07,2019-07
customer175,2019-03,2020-02
customer1750,2020-02,2020-02
customer1751,2019-11,2019-11
customer1752,2019-03,2019-03
customer1753,2019-03,2019-03
customer1754,2020-02,2020-02
customer1755,2020-01,2020-01
customer1756,2020-01,2020-01
customer1757,2019-09,2019-09
customer1758,2019-05,2019-05
customer1759,2019-12,2019-12
customer176,2020-01,2020-02
customer1760,2019-07,2019-07
customer1761,2020-01,2020-01
customer1762,2020-01,2020-01
customer1763,2019-09,2020-02
customer1764,2020-01,2020-01
customer1765,2019-08,2019-08
customer1766,2019-06,2019-06
customer1767,2019-12,2019-12
customer1768,2019-04,2019-04
customer1769,2019-09,2019-09
customer177,2019-03,2019-12
customer1770,2019-03,2019-03
customer1771,2019-07,2019-07
customer1772,2020-01,2020-01
customer1773,2019-12,2019-12
customer1774,2019-09,2019-09
customer1775,2019-06,2019-06
customer1776,2020-02,2020-02
customer1777,2020-02,2020-02
customer1778,2019-07,2019-07
customer1779,2020-02,2020-02
customer178,2019-03,2020-02
customer1780,2019-03,2019-03
customer1781,2019-03,2019-03
customer1782,2019-10,2019-10
customer1783,2019-07,2019-07
customer1784,2019-03,2019-03
customer1785,2020-01,2020-01
customer1786,2019-12,2020-02
customer1787,2019-03,2019-03
customer1788,2019-03,2019-03
customer1789,2019-10,2019-10
customer179,2019-07,2019-11
customer1790,2019-08,2019-08
customer1791,2020-01,2020-01
customer1792,2019-09,2019-09
customer1793,2019-03,2019-03
customer1794,2019-10,2019-10
customer1795,2020-01,2020-01
customer1796,2019-06,2019-07
customer1797,2019-06,2019-06
customer1798,2019-03,2019-03
customer1799,2019-11,2019-12
customer18,2019-07,2020-02
customer180,2019-03,2019-04
customer1800,2019-12,2019-12
customer1801,2019-03,2020-01
customer1802,2020-02,2020-02
customer1803,2019-04,2019-04
customer1804,2020-02,2020-02
customer1805,2019-03,2019-03
customer1806,2019-11,2019-12
customer1807,2019-05,2019-05
customer1808,2019-03,2019-03
customer1809,2019-12,2019-12
customer181,2019-03,2019-08
customer1810,2019-03,2019-03
customer1811,2019-09,2019-09
customer1812,2019-08,2019-08
customer1813,2019-04,2019-05
customer1814,2019-05,2019-05
customer1815,2019-08,2019-08
customer1816,2019-08,2019-08
customer1817,2019-03,2019-03
customer1818,2019-04,2019-04
customer1819,2019-11,2019-11
customer182,2019-03,2020-02
customer1820,2019-09,2019-09
customer1821,2019-03,2019-03
customer1822,2019-03,2019-03
customer1823,2019-09,2019-09
customer1824,2019-03,2019-03
customer1825,2019-03,2019-03
customer1826,2019-10,2019-10
customer1827,2019-04,2019-05
customer1828,2019-12,2019-12
customer1829,2019-06,2019-06
customer183,2019-03,2020-02
customer1830,2019-04,2019-04
customer1831,2019-03,2019-03
customer1832,2019-05,2019-05
customer1833,2019-03,2019-03
customer1834,2019-04,2019-04
customer1835,2019-03,2019-03
customer1836,2019-09,2019-09
customer1837,2019-05,2019-05
customer1838,2019-03,2019-03
customer1839,2020-02,2020-02
customer184,2019-06,2020-02
customer1840,2020-02,2020-02
